"Res. Center for Microperipherik, Technische Univ. Berlin, Germany",0,0,O. Willum,1,0.0000,new product;product group;active product;long product lifetime;old product;product generation;new technology;environmental benefit;environmental choice;environmental consequence,0.0000
"BBN Technologies, Cambridge, MA",33,1,Linnea Micciulla,2,6.5667,general anaphoric coreference;information extraction;Unrestricted Coreference;coreference annotation;coreference detection;coreference layer;phrase coreference;cross-layer information;information extraction performanceThis paper;IE technology,1.3828
,0,0,Adam Raybone,2,0.0000,different workflow language;data enquiry service;Mediation Architecture;different characteristic;different demand;different existing workflow language;different language;proposed mediating service;service broker architecture;service composition,0.0000
"Centre for Advanced Research in Environmental Genomics (CAREG), Department of Biology, University of Ottawa  Ottawa, ON K1N 6N5, Canada",0,0,Christopher J. Martyniuk,1,0.0000,SANTA domain;chromatin remodeling;SANT domain;conserved non-enzymatic protein domain;novel conserved protein domain;novel conserved protein module;protein interaction;vertebrate protein;chromatin regulationSince packaging;chromatin structure,0.0000
,0,0,W D Blair,1,0.0000,Factoring large number;pocket calculator,0.0000
"Biodiversity and Molecular Ecology Department, IASMA Research and Innovation Centre, Fondazione Edmund Mach, Via E. Mach 1, 38010 S. Michele all'Adige, Trento, Italy",0,0,Luca Delucchi,1,0.0000,GRASS GIS;image rectification tool;proper image rectification;robust rectification;open source environment;open source environmentAerial photograph;open source software;robust tool;landscape composition;landscape metrics,0.0000
"Freie Universität Berlin, Germany and the International Max Planck Research School for Computational Biology and Scientific Computing, Berlin",0,0,Sandro Andreotti,1,0.0000,present antilope;benchmark data;mass spectrometry data;popular state-of-the-art program;state-of-the-art algorithmic approach;state-of-the-art tool;Lagrangian Relaxation Approach;Lagrangian relaxation;Sequencing ProblemPeptide sequencing;annotated spectrum,0.0000
"Department of Computer Science and Engineering, Sree Sowdambika College of Engineering, Aruppukottai, Tamilnadu, India",0,0,J. Jaffer Basha,1,0.0000,omographic reconstruction;low dose tomographic reconstruction;new multiresolution reconstruction algorithm;state-of-art wavelet-based tomographic reconstruction;EPRI deal;vivo EPRI;vivo dynamic;vivo imagingElectron paramagnetic resonance;vivo pO2;vivo physiological information,0.0000
"Department of Chemistry, University of Perugia, Perugia",0,0,Federico Filomia,1,0.0000,molecular dynamic;myoglobin model;DFT result;Dl_poly package;Dreiding force field;active site;gas molecules carrier;observed property,0.0000
,0,0,Chei Sian Lee,1,0.0000,ime period;social tie;document attribute;academic paper;documents usage;opinion expression;social tag;tags choice;related study;Academic PapersThis paper,0.0000
,1,1,V. Siva Sankar,1,0.3333,opological hybrid analysis;Conjugate Gradient method;current source;voltage source;Hybrid analysis;loop analysis;nodal analysis;Exploiting Hybrid Analysis;large conductance range;large range,0.6111
,0,0,Yu Hua-Jiao,1,0.0000,rough set;boundary domain;knowledge particle;Rough SetsThe rough entropy;method rough entropy;rough entropy;improved uncertainty method;uncertainty measure;improved method;negative domain,0.0000
,0,0,Q. Zahid,1,0.0000,Inverted Pendulum;Real-Time Control;Pendulum regulation;control energy specification;different control algorithm;performance comparison;Comparative StudyIn;Fuzzy Logic;ISE index;Pole placement,0.0000
,0,0,Xiaofu Ji,1,0.0000,L-lysine fermentation process;complicated nonlinear multivariable system;inverse system;original system;Squares Support;Support Vector Machine Inverse;Vector Machine;Decoupling Control;Gaussian kernel;decoupling control strategy,0.0000
Walden University,0,0,Sharon W. Canipe,1,0.0000,qualitative data;rural teacher;quantitative data;computer-mediated collaborative environment;Computer-mediated collaboration;integrated correlational data;rural content teacher;rural student achievement;rural teachersRural secondary content;K-12 teacher isolation,0.0000
"La Sierra University, Riverside, CA",1,1,Scott Easterday,1,0.2000,dynamic activity analysis;activity analysis;dynamic activity analysisIn;static activity analysis;significant overhead;average speedup;benchmark problem;derivative program;input variable;mode Automatic Differentiation,0.1567
,0,0,Rhonda Chesley,1,0.0000,SQL Server;SQL Server Interview Questions;Database Developers;Developers AdministratorsThis book;accidental DBAs;answer mode;great review;interesting trivia;short stint;upcoming section,0.0000
"Department of Economics and Quantitative Methods, University of Catania, Catania, Italy",1,1,Damiano Rossello,1,0.3333,portfolio optimization problem;portfolio return;Farinelli-Tibiletti ratio;eleven alternatives ratio;general reward-risk ratio;one-sided variability measure;two-sided variability;asymmetrical information;computational asset allocation;different sensitivity,0.2778
"University of Applied Sciences Osnabruck, Germany",0,0,Kim Moller,2,0.0000,automatized video segmentation module;collaborative video annotation environmentsAnnotation;video annotation;video annotation environment;video annotation process;video collaboration tool;video editing service provider;video production;video production process;existing approach,0.0000
"The National Institute for Japanese Language, Japan",4,1,Takehiko Maruyama,1,0.8000,Japanese monologue sentence;dependency parsing;dependency structure;efficient dependency;entire sentence;greater sentence length;high parsing performance;sentence level;sentence segmentation;stochastic dependency,0.3600
"Univeristy of Moratuwa, Moratuwa, Sri Lanka",2,1,Subash Chaturanga,1,0.3333,CEP Engine;CEP Engine design;CEP Engines;CEP performance;complex event processing architecturesToday;data processing;fast processing;stream processing style pipeline;improved performance;performance study,0.2056
,0,0,Joe Goodner,1,0.0000,smart safety plan,0.0000
"Internet Commerce Security Laboratory, University of Ballarat, Ballarat, Australia",1,1,Omaru O. Maruatona,4,0.3333,SVM Classifier;video game;Internet banking;Internet banking system;online banking;online banking system;real online banking transaction;corresponding automated evaluation model;direct evaluation;educational evaluation system,0.6111
"Department of electrical and computer engineering, university of delaware, newark, de, usa (email: mpicolle@udel.edu)",0,0,Michael e. Picollelli,2,0.0000,small number;Wiley Periodicals;SIR epidemic;epidemic spread;following random graph process;likely evolution;likely length;likely number;linear number;random graph,0.0000
AUKBC Research Centre,0,0,J. Vinosh Babu,1,0.0000,automatic language identification;language identification system;single language;Multivariate Analysis;character set;dimensionality reduction;schemes viz,0.0000
"Cognitive Brain Mapping Laboratory, RIKEN Brain Science Institute, Wako, Saitama, Japan and Department of Behavioral and Brain Sciences, Primate Research Institute, Kyoto University, Kanrin, Inuya ...",1,1,Madoka Matsumoto,1,0.3333,Goal-based action selection;utility-based action bias;action utility;utility-based action;utility-based agent;goal-based agent;different possible outcome;highest utility;new environment;specific goal,0.2778
"Westsächsische Hochschule, Zwickau, Germany",1,1,Andre Pfluger,2,0.3333,system requirement;system architect;system architecture;complex embedded system;radar system;Tool-supported model-driven validation process;UML-based process;development process;error-prone process;increase process usability,0.6111
,0,0,S. Jalaleddin Dastgheib,2,0.0000,faulty reading;network localisation;wireless sensor network;domain expert;Optimised Algorithm;Cancer Treatment ontology;Debraj De algorithm;Linked Open DataDomain-specific ontology;correlation algorithm;domain ontology schema,0.0000
"Department of computer science, K.U.Leuven DistriNet, Leuven",6,2,Andrew Wils,3,1.3500,device discovery;home network;XP practice;avionics software;avionics software worldThis paper;discovery service;innovative device discovery;iterative software development process;mission critical airborne software;software architecture,2.9325
,0,0,Fritz Schwarz,1,0.0000,Loewy Decomposition;higher order;linear ordinary differential equation;linear partial differential equation;Linear Differential EquationsThe;central subject;complete list;independent variable;possible solution type;single function,0.0000
"Intelligent Media Lab, Department of Computer Engineering, Chonnam National University, Gwangju, Korea",5,1,Hong Seok-Ju,1,1.2500,Gaussian mixture model;shadow region;IHLS color space;color space model;improved HLS color space;standard RGB space;adaptive background model;Improved HLS;raw RGB data;utilizing luminance,1.3542
,0,0,M. R. Babaei,1,0.0000,embedded system;online test result analysis;software test routine;test application time;test process;test task;existing method;online method;proposed method;proposed task scheduling method,0.0000
"Stuttgart, W. Germany;Prager Strasse 9, D10779 Berlin, Germany;TFH Berlin, FB II, Luxemburger Str. 10, D13353 Berlin, Germany;TFH Berlin, Berlin;TFH Berlin, FB II, Berlin, Germany;Beuth University of Technology Berlin, Department of Mathematics, Berlin, Germany",17,3,L. Kohaupt,12,17.0000,differential calculus;phase diagram;numerical example;fundamental matrix;solution vector;solution vector y;vector function;solution y;new concept;new upper bound,17.0000
Southampton Solent University,2,1,Miriam Martincova,2,0.6667,CBR tool;expert problem;cognitive behaviour;cognitive process;Empirical Study;human problem;ill-defined problem;nontrivial problem;cognitive psychological approach;analogy-based prediction,0.5556
,0,0,Luciano Casciola,1,0.0000,leading European liver surgeon;liver disease;minimally invasive liver surgery;robot-assisted liver surgery;concise description;detailed description;up-to-date description;LiverThis book;general surgeon;operative technique,0.0000
,0,0,M. Garca-Rojo,1,0.0000,main research effort;COST Action IC0604 EURO-TELEPATHMultimedia;European COST Action consortium;IC0604 COST program;pathology business modeling;digital image;digital medical image;European Corporation;Digital Pathology;Japanese researcher,0.0000
"OVIDIUS University of Constanta, Romania/ Virtual Reality European Center (CERV/ENIB), France",0,0,Dorin Mircea Popovici,1,0.0000,collaborative multi-cultural virtual environment;educational virtual environment;virtual actor;virtual classroom;virtual theater;environment description;hand-made marker-based interaction;interaction API;VEHA API;collaborative learning,0.0000
"University of Oldenburg, Germany;LIAFA, Paris Diderot University & CNRS,;LIAFA & CNRS",85,6,Roland Meyer,15,37.6708,finite control process;Petri net;finite p;translation yields safe Petri;trustworthy software system;tool chain;finite net;mobile system;safe process;Duration Calculus,43.8296
,0,0,Fengxia Li,1,0.0000,course objective;public computer course;University Computer;University Computer course;computer course;course content;course material;course planning;course syllabus;public computer education,0.0000
"Struttura Dipartimentale di Matematica e Fisica, Universití di Sassari, and Sez. INFN di Cagliari, Italy",4,1,G. L. Masala,2,0.1081,medical image;MAGIC-5 Project;GRID Services;radial basis function;early diagnosis;interactive online diagnosis;statistical diagnosis;genetic analysis;haemochromocytometric data;medical images analysis,0.0505
"Bar Ilan University, Ramat Gan, Israel",14,1,Efrat Marmorshtein,1,2.8000,direct word sense;explicit word sense disambiguation;novel sense;direct approach;synonymous word;appealing advantage;future research;intermediate step;lexical substitutionThis paper;stimulating potential,1.2600
"Departamento de Ciencias e Ingeniería de la Computación, Universidad Nacional del Sur, Av. Alem 1253, 8000 Bahía Blanca, Argentina",1,1,A. Carolina Olivera,1,0.3333,raffic light;microscopic traffic simulator;traffic light scheduling;vehicular traffic;complex scheduling;cycle program;global trip time;real urban areasCongestion;successful cycle program;vehicular flow,0.1111
,0,0,Chen Shu-qing,1,0.0000,Line-up competition;Differential Evolution algorithm;generalized assignment problem;sub problem;Line-up Competition Differential Evolution;local optimization;well-known NP-hard combinatorial optimization;Generalized Assignment ProblemThis paper;experimental result;powerful optimization-searching ability,0.0000
,0,0,Shihui Duan,1,0.0000,Chord routing algorithm;routing performance;limited network layer multicast;network search delay;underlying network topology;Chord Algorithm;multicast technology;Limited MulticastingChord;physical neighbor information;simulation shows,0.0000
Universidad de Valladolid (Spain),0,0,Joaquin Adiego Rodriguez,1,0.0000,indexacion y recuperacionAbstract,0.0000
,0,0,Robin Stricklin,1,0.0000,Delta Air Lines;Delta U;Innovative Corporate Learning;case stud;continuous learning;formal education;pronged program,0.0000
"Faculty of Pharmaceutical Sciences, Khon Kaen University, Khon Kaen 40002, Thailand",0,0,Chantana Boonyarat,1,0.0000,PBD code;binding affinity;Cdk5 inhibitor;developed template;active binding site;binding energy;binding mode;crystallographic binding orientation;ligand binding orientation;Cdk5 template,0.0000
"Laboratory for Automated Reasoning and Programming, Chengdu Institute of Computer Applications, CAS, Chengdu, 610041, China",1,1,Yong Feng,1,0.2500,exact minimal polynomial;complete algorithm;minimal polynomial;existent error;algebraic number;approximate root;construction method;improved parameterized integer relation;subsistent method;sufficient condition,0.2708
,0,0,J E Gottschalk,1,0.0000,Coulomb potential;closed form expression,0.0000
"Wipro Technologies, India",1,1,Sumonta Mazumder,1,0.3333,high failure rate;success rate;Offshore Relationships;broad discussion;engineering team structuresOutsourcing;outsourced activity;outsourcing activity;two-prong approach,0.2778
"IBM Network Computing Software Division, P.O. Box 12195, Research Triangle Park, North Carolina",64,2,K. D. Gottschalk,5,18.2500,enterprise server;IBM Systems Journal;Java initiativesThis paper;individual Java effort;compatible JavaTM application server;major server platform;network management productsThis paper;server capability;server platform;server technology base,33.6458
"Florida International University , Miami",0,0,Shu-Ching Chen,1,0.0000,Wavelet Analysis;biological sequence data;cancer Achilles;cancer bioinformatics question;cancer genome increases exponentially;cancer genome research;wavelet analytic technique;biological unit;important mathematical analysis tool;raw data,0.0000
"National Institute of Health, Bethesda, Maryland",0,0,Thomas L. Jones,1,0.0000,computer method;computer model;computer program;artificial intelligence;artificial intelligence field;artificial intelligence research;handicraft technique;intelligent behavior;additional purpose;cause-and-effect relationship,0.0000
"Department of Computer Science, Harbin Institute of Technology, Harbin 150001, China",10,2,Xiaohong Su,14,2.4333,stego image;code variation;online algorithm;program analysis;student program;previewed image;secret image;two-in-one image secret sharing;system dependence graph;MWM-based algorithm,2.0478
"The Faculty of Computer, Guangdong University of Technology, Guangzhou, Guangdong, China",0,0,Guobo Xie,6,0.0000,dataflow coprocessor;multiple processor;Multi-scroll Chaotic Attractors;social requirement;theoretical analysis;Multi-Processor Education Board;DES coprocessor;ProcessingModern embedded market;RISC coprocessor;embedded microprocessors,0.0000
"University of Dublin, Trinity College, Ireland",0,0,Robert McAdoo,2,0.0000,Person Communications;term Person;ective model;new model;new model people;Disaggregated NetworksCurrent telecommunications system;current system;e-commerce protocol;electronic goods;intangible goods,0.0000
"Microsoft Corporation, Redmond, WA",66,1,Darek Mihočka,1,8.2500,execution trace;performance overhead;program analysis;program analysis tool;program behavior;program executionsProgram execution trace;program optimization;runtime framework;short execution scenario;information output,2.2098
,1,1,Zhao Wei,1,0.3333,high-speed link;flow distribution;flow information;hash-based flow selection function;heavy-tailed flow;XOR Hashing Algorithms;XOR operator;bit XOR operator;high-speed network;Hashing algorithm,0.2778
"MaxPlanckInstitut für Festkörperforschung, Heisenbergstrasse 1, D70569 Stuttgart, Germany",0,0,T. Merdzhanova,2,0.0000,Morphological evolution;post-growth annealing islands move;dislocated island;Si substrate;epitaxial growth;SiGe epilayer;model system SiGe;uniform SiGe;uniform SiGe barn;uniform distribution,0.0000
,0,0,Z. Wei,1,0.0000,product data segment;compartmentalized product data segment;decentralized product data;global product information;integral product;manufacturing product;product data dictionary;product information;storing product data;Product Data,0.0000
"School of Computer Science and Technology, North China Electric Power University, Beijing, China 102206",0,0,Zhenhua Wei,1,0.0000,Mobile Robot;pattern code method;quadtree method;Improved Framed-QuadtreeA path planning;optimal path;shortest path;improved Framed-Quadtree;original storage space;paper analyzes drawback;search space,0.0000
,0,0,Zheng Wei,1,0.0000,Genetic Algorithm;TDRS Communication Scheduling;TDRS SpaceCraft constellation;genetic shows;increasing number;large number;Data Relay satellite;Resource ConstraintsThe task;communication request;complex technological constraint,0.0000
"Faculty of Mathematics and Computer Science Nicolaus Copernicus University Toruń, Poland. Email: klunder@mat.uni.torun.pl",0,0,Barbara Klunder,1,0.0000,star-connected language;AutomataStar-connected rational expression;dependency relation;rational expression;transitive dependency relation;Star-Connected Flat Languages;connected cycle;flat language;trace language,0.0000
"Department of Physics, University of Athens, 15783 Athens, Greece",0,0,X. Moussas,1,0.0000,quasi-linear segment;linear structure detection;edge detection;fast algorithm;fast estimation;fast extraction;quasi-linear structure;slope detection;astrophysical image;energy spectrum,0.0000
,0,0,Zhe Wei,1,0.0000,Empirical Study;Software ReuseSoftware reuse;reuse good quality component;reuse methodology;development team;proposed methodology;software development organizatins;study result;clear identification;industrial project,0.0000
Cleveland Clinic Foundation,1,1,Ting Shi,3,0.1667,Genetic Algorithm;K-Nearest Neighbor Method;similar sequence;posterior probability;discriminator gene;gene ontology category;gene ontology group;gene ontology term;gene ontology tree;gene selection,0.2417
,0,0,L. Shastri,1,0.0000,character classes incrementally;classes increase;considered class;feature attributionThe neural network;handwritten digit recognition;incremental character recognition;relevant feature;spatio-temporal network architecture;subsequent class;attribution scheme,0.0000
"ProjectTeam Ariana, INRIA/I3S, Sophia Antipolis, France 06902 and LIAMA & NLPR, CASIA, Chinese Academy of Sciences, Beijing, China 100190;LIAMA & NLPR, CASIA, Beijing, China 100190 and ProjectTeam Ariana, INRIA, Sophia Antipolis, France 06902",3,1,Ting Peng,2,0.7500,network region;new model;maximum network branch radius;network branch width;road network;road network quasi-automatically;vascular network;poor model;previous model;prior model,1.5625
Walden University,0,0,Venkatarao Edara,1,0.0000,various factor;software project success;offshore IT company;quantitative study;impact software project success;project manager;project success;software development life cycle;software projects success rate;software team member,0.0000
"Department of Computer Engineering, Hannam University, Daejeon, South Korea",0,0,Geuk Leek,1,0.0000,logistics system;military distribution system;military logistics system;RFID technology;sufficient data,0.0000
,0,0,Elief Paffrath,1,0.0000,efficient test error detection;test process;wafer retest recommendation model;proposed online test error;real semiconductor test process;test cost;test data;test error;adjacent dice;basic detection performance,0.0000
"Division of Scientific Computing, Department of Information Technology, Uppsala University, Uppsala, Sweden",0,0,Katharina Kormann,3,0.0000,variable coefficient;Parallel Finite Element Operator;Stokes equation;convection diffusion equation;dinger equation;efficient implementation;high-dimensional partial differential equation;numerical experiment;numerical simulation;numerical test,0.0000
,0,0,Yuexian Zhang,1,0.0000,brand avoidance;Formation Mechanism;group level;individual level;socio-cultural level;Anti-consumptionThis paper;academic research;Exploring Motivations;deep insight;in-depth interview,0.0000
Stockholm University,0,0,Lina Eklund,1,0.0000,leisure time;rationalization process;digital gaming;rational time economy;rationalization logic;rationalization theory;gaming activity;leisure timeThis study;players value;rational individualization,0.0000
,2,1,Abilio G. Parada,2,1.0000,UML Class;Model-driven Engineering;Android applications development;automatic code generation;code efficiency;code generation;code generator;mobile application;mobile application development industry;mobile device,1.5000
"Graduate Program in Computer Science, Catholic University of Santos, Santos/SP, Brasil",0,0,Danilo Mattos Bonfim,1,0.0000,genetic information;genetic programming approach;L-system grammar;Lsystem grammar;different species result;phenotypically different parent;bracketed l-systemsL-system;grammar-like formalism;hybrid plant;present unusual body structure,0.0000
"University of California, Berkeley",0,0,Gamil M. Serag-Eldin,1,0.0000,building design;design solution;conflict management;architectural design collaborationUntil;comprehensive design solution;design quality;large-scale design;conflict management model;conflict resolution algorithm;inevitable conflict,0.0000
,0,0,Arnold Lewis Glass,1,0.0000,Semantic Primitive,0.0000
"Univ. Fed. de Santa Catarina DASCTCUFSC, FlorianópolisSC, Brazil",1,1,Andreu Carminati,5,0.3333,adversary simulator;worst-case response time;arrival pattern;Multiprocessor Priority Ceiling Protocol;classic simulator;design space;Flexible Multiprocessor Locking Protocol;FPZL scheduling;partitioned scheduling;new protocol,0.2778
,0,0,Yang Aibing,1,0.0000,FPGA platform;Audio Transmission System;Weapons Training Simulator;FPGA PlatformAt;PC platform;basic model;basic principle;basic structure;mono signal codec;system framework,0.0000
NASA,0,0,Gerard J. Holzmann,1,0.0000,Curiosity Mars rover;Mars Express;Mars Reconnaissance Orbiter;Mars orbiter;Mars rover driver;60-second video;Curiosity rover communicates;animated video;software development process;European Space Agency,0.0000
,0,0,Hans-Jürgen Gottschalk,1,0.0000,Elementare Steuerknoten,0.0000
"Broadband and Wireless Networking Laboratory, School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA;Oak Ridge National Lab., Oak Ridge, TN;Telcordia Technologies, Morristown, NJ, ;Hanyang University, Korea",43,2,Inwhee Joe,28,20.5000,proposed scheme;wireless sensor network;sensor node;wireless ATM network;Mobile Node;wireless network;proposed algorithm;power consumption;wireless link;proposed protocol,15.5417
"Department of Mechanical Engineering, Tokyo Metropolitan University, Tokyo, Japan",0,0,Indra Adji Sulistijono,1,0.0000,partner robot;human clustering;visual perception;computational intelligence;computational intelligenceThis paper;perceptual system;total system;experimental result;fuzzy controller;long-term memory,0.0000
"Univ. of North Carolina, Chapel Hill",483,7,Stefan Gottschalk,12,151.1333,accurate collision detection;hybrid hierarchical representation;haptic interaction;haptic simulation;haptic toolkit;fast proximity query;box tree;Haptic InteractionWe;PHANToM arm;Pentium II,245.6628
University of Heidelberg,0,0,D. Gottschalk,1,0.0000,control system;detector system;operating system Linux;system integration test;system stability;dedicated heavy-ion detector;DCS board;ALICE TPC ElectronicsThe ALICE;Detector Control System;Heterogeneous Control System,0.0000
,0,0,Doris Duncan Gottschalk,1,0.0000,economic outlook;remote computing services industry,0.0000
,0,0,C. M. Gottschalk,1,0.0000,descriptive cataloguing rule,0.0000
"Univ. of Pennsylvania, Philadelphia;International Computer Science Institute, 1947 Center Street, Suite 600,  Berkeley, CA 94704. www.icsi.berkeley.edu/∼shastri;University of California, Berkeley;Computer Science Department, University of Rochester, Rochester, NY;Center for Mind and Brain, UCDavis, CA, USA",84,5,Lokendra Shastri,24,73.6095,connectionist model;spontaneous speech;vicinal algorithm;Knowledge Representation;gradual learning;reasoning system;SHRUTI model;biologically plausible computational model;speech recognition;semantic network,70.5854
"Johns Hopkins University;Advanced Micro Devices, Inc.",51,4,Budirijanto Purnomo,7,14.2183,cuneiform tablet;data structure;graphics hardware;rendering time;surface geometry;Hardware-compatible vertex compression;vectorized vertex data element;vertex attribute;vertex compression technique;vertex data,23.7133
"Institut EIT 1, Universitaet der Bundeswehr Muenchen  85577 Neubiberg, Germany",0,0,David Meintrup,1,0.0000,DD experiment;total number;statistical model;primer combination;previous mathematical model;differential display;mRNA differential displayMotivation;theoretically available gene;comprehensive prediction;developmental stage,0.0000
"AT&T Bell Laboratories Holmdel, New Jersey ,USA07733",0,0,M. G. Young,1,0.0000,dry etching;grating mask;grating pattern;grating period;grating photomasks;e-beam lithography;e-beam precision;e-beam writing;fused silica phase;standing wave pattern,0.0000
"Hanyang University, Seoul",8,0,Jaemin Jung,2,1.4333,storage-class memory;file system;NAND Flash;FRASH file system;NAND Flash device;Flash file system;art file system;current log-structured file system;file system metadata;file system object,1.6756
,0,0,Hujun Bao,1,0.0000,efficient keyframe-based real-time camera;input reference image;markerless real-time camera tracking;online reference map extension;real-time camera tracking;reference image;sufficient reference image;offline module;online keyframes;online module,0.0000
"Department of Management Information Systems, College of Economics and Business, Catholic University of Daegu, Gyeongbuk 712702, South Korea",8,1,J. H. Jung,1,2.6667,group collaboration environment;computer interface;Motivational Affordance;collaboration environment;collaboration tool;technology-mediated collaboration;computer-mediated idea generation system;computer interaction;technology-supported group work;motivational need,4.8889
"Department of Electrical and Computer Engineering, Concordia University, Montreal, Quebec, Canada H3G 1M8",0,0,David Levine,1,0.0000,proposed IJSCD scheme;proposed scheme;H.264 compression;H.264 semantic verification;channel coding;noisy channel;required channel;soft-in soft-out channel decoder;turbo decoding concept;Iterative Joint Source-Channel Decoding,0.0000
University of Granada,1,1,R. Montes,5,0.3333,e-Learning platform;platform facilitates student;platform progress;software platform;web platform;early design;efficient software;hypermedia system nature;new design;relevant operating system,0.2778
,0,0,Niu Jiping,4,0.0000,original image;image division;image fusion;true color image;decompose image;disordered image;heterogeneous image fusion;image interpretation;image lamination division algorithm;valve-value surface,0.0000
National University of La Plata,4,1,Marcelo Naiouf,7,0.8500,parallel algorithm;parallel solution;case parallel speedup;different parallel platform;hybrid parallel programming;parallel algorithm performance;parallel application performance;parallel solution algorithm;parallel suboptimal heuristic search;parallel system,0.4158
,0,0,Oscar C. Au,1,0.0000,soft cast;soft broadcast;high compression efficiency;inter frame coding;inter frame compression;motion-aligned wireless;smooth multicast performance;source coding;video PSNR;video multicast scheme,0.0000
"Kharkov State Technical University of Radioelectronics, Kharkov, Ukraine;Kharkov National University of Radioelectronics, Kharkov, Ukraine <rfc822>masht@skynet.kharkov.com</rfc822> <rfc822>mashtalir@kture.kharkov.ua</rfc822>",5,2,V. P. Mashtalir,5,1.7500,content-based image retrieval;content image retrieval;higher level image processing;image collection;image content;image retrieval;image retrieval system;segmented image;similar image;multialgebraic system,2.5625
,0,0,Tian Zuo,1,0.0000,SEM Microscopic Image;SEM material image;Markov Field Models;Markov Field Models algorithm;Markov Field ModelsThe Scanning;material image;material property;priority iteration algorithm;segmentation algorithm;image processing method,0.0000
"University of Extremadura, Spain",2,1,Mercedes Rico,8,0.5833,mobile device;mobile service;mobile technology;young learner;Mobile Commerce;context-aware mobile application;mobile access;mobile application;mobile phone;cognitive development,0.6319
,10,1,P. Lucas,1,10.0000,medical informatics;artificial intelligence;Current TrendsThis book;actual research;different branch;different method;different representation formalisms;guideline-related research span;research community;Computer-based Medical Guidelines,10.0000
"Department of Physics, Nagoya University, Nagoya 4648602, Japan",0,0,K. Yamashita,1,0.0000,Au ion;combined XSW-XRR technique ion;highest ion fluence Pt;ion beam;ion fluence;ion irradiation effect;ion irradiationA;ion sputtering technique;C. Grazing incidence X-ray;Fe impurity,0.0000
"Hitachi, Ltd., Central Research Laboratory, Tokyo, Japan",0,0,Takashi Watanabe,2,0.0000,Cellular Phone;cellular phone detection;Human EyesThe security problem;detection rate;false detection rate;additive color;proposed method utilizes color;standard hand pattern;variable color;analog RGB cable,0.0000
"Department of Electrical and Electronics Engineering, Sophia University, 71 Kioicho, Chiyodaku, Tokyo 1028554, Japan",2,1,Koki Yamashita,2,1.0000,new mode;H mode;reduced model;dopaminergic modulation;inverted-U region;conventional activity mode;delay-period activity;model PFC neuron;model neuron;dopaminergic neuromodulatory effect,1.5000
,0,0,Garry Meaburn,1,0.0000,Field Guide;Microsoft Operations Manager,0.0000
,0,0,Keith C.  C. Chan,1,0.0000,Graph Mining Algorithm;chemical compound;class-specific pattern;biological graph dataset;complex graph structure;graph theory;hierarchical graph;hierarchical graph representation;novel graph mining algorithm;traditional frequent graph mining,0.0000
"Bioinformatics, University of Colorado Health Sciences Center, Denver, CO",0,0,Anis Karimpour-Fard,1,0.0000,current user interface methodology;user acceptance;user category profile;user identity;user interface development;flexible integrated prototype;helpful visualization;information modeling;integrated biological information website;integrated term weighting,0.0000
,0,0,Romano Lapasin,2,0.0000,solder paste;solder pastesViscoelastic property;Rheological characterization,0.0000
"Free University of BolzanoBozen, Bolzano, Italy",0,0,Michael Boehlen,1,0.0000,meta data;collaborative editing;business process definition;text mining;data lineage;data provenance;TeNDaX dynamic folder;present TeNDaX;document creation process;dynamic folder,0.0000
,0,0,Taoi Hsu,1,0.0000,finest resolution;rest resolution;rough resolution;gradient pyramid construction;Fractal DimensionAn efficient algorithm;Multi-resolution Texture Segmentation;accurate boundries estimation;calculated variogram;calculation region;different region,0.0000
"Department of Industrial Management, National Taiwan University of Science and Technology, No. 43, Section 4, Keelung Road, Taipei 106, Taiwan, ROC",3,1,Tsung-Shin Hsu,6,1.0000,dynamic environment;ANN algorithm;MTS-TSO algorithm;novel algorithm;model construction;pattern-recognition problem;dynamic system;MTS algorithm;MTS-ANN algorithm;Optimal algorithm,0.5000
"Department of Electric Engineering, Sakarya University, Sakarya, Turkey",1,1,Zafer Demir,2,0.3333,arget density function;new Target Density Function;new algorithmIn;new concept;new cost function;new estimation algorithm;alternative algorithm;alternative approach;array radar system;different class,0.2778
"High Reliable Software Lab, School of Software, Shanghai Jiaotong University, China",0,0,Menghan Chen,1,0.0000,enterprise application;M2M platform;terminal device;corresponding enterprise application server;enterprise application server;M2M application;work M2M;raw data;CBV mapping module;business vocabulary,0.0000
London College of Communication,0,0,Ansgar R. S. Gerlicher,1,0.0000,proprietary data format;data model;new flexible plug-in architecture;new trend;new way;automotive engineering process;collaborative engineering;collaborative real-time editing;real-time collaborative engineering;automotive industriesToday,0.0000
"Perseus Project, Tufts University",6,1,Adrian Packel,1,0.7500,digital incunabula;digital librariesThis paper;early digital library;successful digital library design;design strategy;print distribution;Greco-Roman collection;Perseus Digital Library;automated process;collection object,0.3259
,0,0,Pan Shigang,1,0.0000,Vehicle Road Test System;vehicle road test;automatic evaluation module;automatic evaluation system;intelligent test system;traditional manual evaluation;advanced automotive technology;artificial intelligence technology;artificial neural network;multi-layer neural network structure,0.0000
,0,0,Roopa Ahirwar,1,0.0000,mean square error;Frost filter;Kuan filter;Lee filter;different noise density;meidan filter;multiplicative speckle noise;speckle SAR image;speckle noise;SAR Image,0.0000
,0,0,Song Li-li,1,0.0000,human resource;multinational company;Risk Source;great risk;pertinent risk control strategy;immature development;Multinational Company Human Resource;different perspective;economic globalization;external market,0.0000
